index,topic_idx
45654,2.0
45655,3.0
45656,0.0
45657,2.0
45658,3.0
45659,2.0
45660,5.0
45661,3.0
45662,4.0
45663,4.0
45664,4.0
45665,6.0
45666,4.0
45667,0.0
45668,6.0
45669,1.0
45670,3.0
45671,2.0
45672,1.0
45673,4.0
45674,4.0
45675,2.0
45676,4.0
45677,3.0
45678,0.0
45679,3.0
45680,6.0
45681,2.0
45682,5.0
45683,0.0
45684,3.0
45685,1.0
45686,6.0
45687,3.0
45688,2.0
45689,4.0
45690,5.0
45691,4.0
45692,6.0
45693,5.0
45694,5.0
45695,5.0
45696,5.0
45697,3.0
45698,0.0
45699,5.0
45700,3.0
45701,6.0
45702,2.0
45703,3.0
45704,0.0
45705,4.0
45706,6.0
45707,4.0
45708,5.0
45709,2.0
45710,4.0
45711,6.0
45712,3.0
45713,3.0
45714,2.0
45715,4.0
45716,6.0
45717,4.0
45718,3.0
45719,2.0
45720,5.0
45721,5.0
45722,2.0
45723,0.0
45724,3.0
45725,4.0
45726,3.0
45727,3.0
45728,0.0
45729,5.0
45730,1.0
45731,0.0
45732,1.0
45733,0.0
45734,6.0
45735,1.0
45736,5.0
45737,6.0
45738,6.0
45739,5.0
45740,6.0
45741,1.0
45742,6.0
45743,1.0
45744,5.0
45745,5.0
45746,4.0
45747,4.0
45748,4.0
45749,1.0
45750,6.0
45751,4.0
45752,0.0
45753,1.0
45754,5.0
45755,5.0
45756,6.0
45757,6.0
45758,5.0
45759,4.0
45760,3.0
45761,4.0
45762,0.0
45763,3.0
45764,2.0
45765,2.0
45766,2.0
45767,4.0
45768,3.0
45769,5.0
45770,3.0
45771,6.0
45772,2.0
45773,6.0
45774,5.0
45775,0.0
45776,6.0
45777,0.0
45778,2.0
45779,1.0
45780,5.0
45781,3.0
45782,0.0
45783,4.0
45784,0.0
45785,2.0
45786,6.0
45787,4.0
45788,4.0
45789,3.0
45790,6.0
45791,6.0
45792,1.0
45793,0.0
45794,2.0
45795,0.0
45796,3.0
45797,3.0
45798,4.0
45799,4.0
45800,1.0
45801,0.0
45802,3.0
45803,6.0
45804,6.0
45805,2.0
45806,1.0
45807,6.0
45808,6.0
45809,3.0
45810,5.0
45811,3.0
45812,1.0
45813,6.0
45814,1.0
45815,2.0
45816,3.0
45817,5.0
45818,5.0
45819,3.0
45820,1.0
45821,1.0
45822,1.0
45823,4.0
45824,1.0
45825,2.0
45826,6.0
45827,1.0
45828,3.0
45829,4.0
45830,2.0
45831,3.0
45832,6.0
45833,2.0
45834,5.0
45835,1.0
45836,5.0
45837,1.0
45838,5.0
45839,1.0
45840,2.0
45841,0.0
45842,3.0
45843,0.0
45844,2.0
45845,6.0
45846,0.0
45847,2.0
45848,2.0
45849,3.0
45850,0.0
45851,1.0
45852,3.0
45853,0.0
45854,1.0
45855,5.0
45856,4.0
45857,6.0
45858,5.0
45859,3.0
45860,5.0
45861,5.0
45862,0.0
45863,1.0
45864,1.0
45865,1.0
45866,3.0
45867,0.0
45868,1.0
45869,0.0
45870,4.0
45871,0.0
45872,6.0
45873,2.0
45874,6.0
45875,3.0
45876,5.0
45877,1.0
45878,0.0
45879,5.0
45880,0.0
45881,2.0
45882,4.0
45883,1.0
45884,6.0
45885,4.0
45886,3.0
45887,6.0
45888,4.0
45889,4.0
45890,5.0
45891,2.0
45892,3.0
45893,1.0
45894,5.0
45895,5.0
45896,2.0
45897,6.0
45898,0.0
45899,6.0
45900,5.0
45901,2.0
45902,6.0
45903,6.0
45904,4.0
45905,5.0
45906,1.0
45907,5.0
45908,5.0
45909,4.0
45910,5.0
45911,4.0
45912,2.0
45913,4.0
45914,5.0
45915,4.0
45916,0.0
45917,3.0
45918,3.0
45919,2.0
45920,3.0
45921,2.0
45922,5.0
45923,5.0
45924,4.0
45925,2.0
45926,0.0
45927,2.0
45928,6.0
45929,0.0
45930,3.0
45931,6.0
45932,5.0
45933,4.0
45934,2.0
45935,4.0
45936,4.0
45937,4.0
45938,4.0
45939,6.0
45940,3.0
45941,2.0
45942,3.0
45943,0.0
45944,2.0
45945,2.0
45946,5.0
45947,4.0
45948,5.0
45949,6.0
45950,4.0
45951,6.0
45952,3.0
45953,1.0
45954,2.0
45955,6.0
45956,0.0
45957,4.0
45958,0.0
45959,6.0
45960,3.0
45961,2.0
45962,1.0
45963,6.0
45964,5.0
45965,0.0
45966,5.0
45967,1.0
45968,0.0
45969,0.0
45970,3.0
45971,5.0
45972,2.0
45973,6.0
45974,5.0
45975,4.0
45976,1.0
45977,0.0
45978,4.0
45979,2.0
45980,6.0
45981,0.0
45982,4.0
45983,5.0
45984,0.0
45985,2.0
45986,1.0
45987,1.0
45988,6.0
45989,1.0
45990,0.0
45991,6.0
45992,4.0
45993,3.0
45994,3.0
45995,5.0
45996,1.0
45997,3.0
45998,3.0
45999,1.0
46000,4.0
46001,1.0
46002,4.0
46003,1.0
46004,1.0
46005,2.0
46006,4.0
46007,4.0
46008,0.0
46009,3.0
46010,5.0
46011,3.0
46012,2.0
46013,4.0
46014,2.0
46015,0.0
46016,4.0
46017,1.0
46018,4.0
46019,0.0
46020,0.0
46021,3.0
46022,6.0
46023,5.0
46024,0.0
46025,0.0
46026,6.0
46027,2.0
46028,4.0
46029,3.0
46030,6.0
46031,2.0
46032,2.0
46033,5.0
46034,4.0
46035,1.0
46036,0.0
46037,6.0
46038,2.0
46039,2.0
46040,0.0
46041,3.0
46042,6.0
46043,4.0
46044,3.0
46045,4.0
46046,0.0
46047,2.0
46048,4.0
46049,6.0
46050,5.0
46051,2.0
46052,6.0
46053,5.0
46054,6.0
46055,6.0
46056,3.0
46057,4.0
46058,5.0
46059,4.0
46060,4.0
46061,6.0
46062,0.0
46063,5.0
46064,5.0
46065,3.0
46066,5.0
46067,2.0
46068,5.0
46069,6.0
46070,5.0
46071,1.0
46072,5.0
46073,3.0
46074,5.0
46075,5.0
46076,4.0
46077,6.0
46078,6.0
46079,6.0
46080,6.0
46081,5.0
46082,4.0
46083,1.0
46084,4.0
46085,1.0
46086,5.0
46087,0.0
46088,5.0
46089,3.0
46090,5.0
46091,2.0
46092,6.0
46093,6.0
46094,6.0
46095,1.0
46096,5.0
46097,2.0
46098,4.0
46099,0.0
46100,2.0
46101,3.0
46102,3.0
46103,2.0
46104,1.0
46105,3.0
46106,1.0
46107,0.0
46108,4.0
46109,1.0
46110,5.0
46111,0.0
46112,2.0
46113,3.0
46114,5.0
46115,1.0
46116,3.0
46117,1.0
46118,1.0
46119,6.0
46120,1.0
46121,5.0
46122,3.0
46123,0.0
46124,3.0
46125,2.0
46126,3.0
46127,5.0
46128,5.0
46129,4.0
46130,5.0
46131,5.0
46132,0.0
46133,0.0
46134,5.0
46135,3.0
46136,1.0
46137,6.0
46138,6.0
46139,0.0
46140,4.0
46141,6.0
46142,2.0
46143,5.0
46144,4.0
46145,2.0
46146,6.0
46147,3.0
46148,1.0
46149,2.0
46150,6.0
46151,4.0
46152,6.0
46153,3.0
46154,6.0
46155,0.0
46156,5.0
46157,1.0
46158,2.0
46159,2.0
46160,0.0
46161,0.0
46162,0.0
46163,2.0
46164,1.0
46165,2.0
46166,3.0
46167,3.0
46168,2.0
46169,0.0
46170,1.0
46171,1.0
46172,2.0
46173,6.0
46174,4.0
46175,1.0
46176,1.0
46177,0.0
46178,2.0
46179,5.0
46180,6.0
46181,6.0
46182,6.0
46183,2.0
46184,1.0
46185,1.0
46186,1.0
46187,5.0
46188,1.0
46189,6.0
46190,0.0
46191,5.0
46192,6.0
46193,1.0
46194,1.0
46195,6.0
46196,6.0
46197,0.0
46198,6.0
46199,0.0
46200,1.0
46201,5.0
46202,3.0
46203,5.0
46204,6.0
46205,5.0
46206,1.0
46207,6.0
46208,1.0
46209,0.0
46210,6.0
46211,5.0
46212,2.0
46213,5.0
46214,1.0
46215,6.0
46216,3.0
46217,5.0
46218,0.0
46219,5.0
46220,6.0
46221,4.0
46222,1.0
46223,2.0
46224,4.0
46225,1.0
46226,2.0
46227,6.0
46228,1.0
46229,1.0
46230,2.0
46231,5.0
46232,4.0
46233,1.0
46234,4.0
46235,5.0
46236,3.0
46237,2.0
46238,3.0
46239,1.0
46240,6.0
46241,6.0
46242,5.0
46243,0.0
46244,3.0
46245,1.0
46246,5.0
46247,2.0
46248,2.0
46249,2.0
46250,0.0
46251,6.0
46252,2.0
46253,6.0
46254,0.0
46255,1.0
46256,5.0
46257,0.0
46258,4.0
46259,4.0
46260,4.0
46261,2.0
46262,3.0
