노선,항공사,좌석수,성인,유아,여객수,이용율
인천-김해,대한항공,27444,14570,70,14640,53.1
김해-인천,제주항공,189,69,0,69,36.5
김해-인천,대한항공,27528,16179,46,16225,58.8
제주-인천,아시아나,1102,846,6,852,76.8
제주-인천,이스타항공,378,338,0,338,89.4
제주-인천,제주항공,189,189,0,189,100
제주-인천,티웨이항공,378,203,0,203,53.7
인천-대구,대한항공,4340,2067,14,2081,47.6
대구-인천 ,대한항공,4340,2181,9,2190,50.3
김포-김해,에어부산,55753,46851,214,47065,84
김포-김해,제주항공,19974,17848,58,17906,89.4
김포-김해,진에어,11718,10160,17,10177,86.7
김포-김해,대한항공,41914,36032,175,36207,86
김포-김해,티웨이항공,17577,16348,87,16435,93
김해-김포,에어부산,55282,48151,241,48392,87.1
김해-김포,제주항공,19785,18390,76,18466,92.9
김해-김포,진에어,11718,10510,22,10532,89.7
김해-김포,대한항공,41914,37575,184,37759,89.6
김해-김포,티웨이항공,17577,16328,89,16417,92.9
김포-제주,아시아나,156527,139070,1062,140312,88.8
김포-제주,에어부산,50281,47797,245,48042,95.1
김포-제주,에어서울,23760,22399,132,22531,94.3
김포-제주,이스타항공,90531,83884,376,84260,92.7
김포-제주,제주항공,112455,107219,534,107753,95.3
김포-제주,진에어,40106,38164,165,38329,95.2
김포-제주,대한항공,118128,105796,737,106533,89.6
김포-제주,티웨이항공,79696,74639,378,75017,93.7
제주-김포,아시아나,156751,139782,1128,140910,89.2
제주-김포,에어부산,50639,47919,275,48194,94.6
제주-김포,에어서울,23760,22295,143,22438,93.8
제주-김포,이스타항공,89964,85632,386,86018,95.2
제주-김포,제주항공,112440,104449,523,104972,92.9
제주-김포,진에어,40482,38822,209,39031,95.9
제주-김포,대한항공,119740,112434,766,113200,93.9
제주-김포,티웨이항공,79665,75680,396,76076,95
김포-광주,아시아나,10266,5860,44,5904,57.1
광주-김포,아시아나,10266,6575,58,6633,64
김포-여수,아시아나,11310,6333,46,6379,56
김포-여수,진에어,5670,2201,25,2226,38.8
여수-김포,아시아나,11310,5527,55,5582,48.9
여수-김포,진에어,5481,3585,45,3630,65.4
김포-울산,진에어,5859,3946,65,4011,67.3
김포-울산,대한항공,8680,6908,50,6958,79.6
울산-김포,진에어,5859,4311,70,4381,73.6
울산-김포,대한항공,8680,7045,57,7102,81.2
김포-사천,진에어,11718,7314,56,7370,62.4
사천-김포,진에어,11718,7818,62,7880,66.7
김포-포항경주,진에어,5859,2131,29,2160,36.4
포항경주-김포,진에어,5670,2179,36,2215,38.4
제주-김해,에어부산,55417,50520,302,50822,91.2
제주-김해,제주항공,37044,34670,232,34902,93.6
제주-김해,진에어,24529,23171,153,23324,94.5
제주-김해,대한항공,29938,27032,180,27212,90.3
김해-제주,에어부산,55775,49295,299,49594,88.4
김해-제주,제주항공,37218,33723,196,33919,90.6
김해-제주,진에어,24341,22493,148,22641,92.4
김해-제주,대한항공,29938,25783,176,25959,86.1
제주-대구,아시아나,10380,8982,63,9045,86.5
제주-대구,제주항공,11340,11005,94,11099,97
제주-대구,진에어,22621,21474,137,21611,94.9
제주-대구,대한항공,8496,7940,65,8005,93.5
제주-대구,티웨이항공,35721,34276,171,34447,96
대구-제주,아시아나,10380,8886,64,8950,85.6
대구-제주,제주항공,11340,10806,56,10862,95.3
대구-제주,진에어,22621,21395,111,21506,94.6
대구-제주,대한항공,8496,7384,70,7454,86.9
대구-제주,티웨이항공,35721,33712,191,33903,94.4
제주-청주,아시아나,15600,13123,120,13243,84.1
제주-청주,에어로케이,16380,15699,140,15839,95.8
제주-청주,이스타항공,17199,15596,74,15670,90.7
제주-청주,제주항공,22491,20164,117,20281,89.7
제주-청주,진에어,32240,29361,301,29662,91.1
제주-청주,대한항공,21120,17257,209,17466,81.7
제주-청주,티웨이항공,24003,22558,173,22731,94
청주-제주,아시아나,15600,12510,135,12645,80.2
청주-제주,에어로케이,16380,15280,107,15387,93.3
청주-제주,이스타항공,17199,15749,86,15835,91.6
청주-제주,제주항공,22491,20018,160,20178,89
청주-제주,진에어,32240,29536,258,29794,91.6
청주-제주,대한항공,20980,16616,183,16799,79.2
청주-제주,티웨이항공,24003,21671,148,21819,90.3
제주-광주,아시아나,20082,15864,104,15968,79
제주-광주,제주항공,11151,10044,61,10105,90.1
제주-광주,진에어,11120,9637,84,9721,86.7
제주-광주,대한항공,17820,14305,98,14403,80.3
제주-광주,티웨이항공,22491,20924,150,21074,93
광주-제주,아시아나,20082,15378,98,15476,76.6
광주-제주,제주항공,10962,10018,61,10079,91.4
광주-제주,진에어,11120,9805,80,9885,88.2
광주-제주,대한항공,17820,13107,82,13189,73.6
광주-제주,티웨이항공,22491,21006,142,21148,93.4
제주-여수,아시아나,10206,6487,61,6548,63.6
제주-여수,진에어,5481,5025,42,5067,91.7
제주-여수,대한항공,4296,2963,33,2996,69
여수-제주,아시아나,10206,6450,76,6526,63.2
여수-제주,진에어,5670,4622,29,4651,81.5
여수-제주,대한항공,4156,2790,28,2818,67.1
제주-울산,대한항공,4200,4038,42,4080,96.1
울산-제주,대한항공,4200,3892,39,3931,92.7
제주-사천,대한항공,2444,2070,25,2095,84.7
사천-제주,대한항공,2444,2030,26,2056,83.1
제주-포항경주,진에어,11340,8680,61,8741,76.5
포항경주-제주,진에어,11340,8211,61,8272,72.4
제주-군산,이스타항공,10962,9336,62,9398,85.2
제주-군산,진에어,5103,4114,40,4154,80.6
군산-제주,이스타항공,10962,9353,66,9419,85.3
군산-제주,진에어,5103,4365,29,4394,85.5
제주-원주 ,진에어,9450,6556,76,6632,69.4
원주-제주,진에어,9450,7001,84,7085,74.1
