노선,항공사,좌석수,성인,유아,여객수,이용률
인천-김해,KAL,26287,17163,61,17224,65.3
김해-인천,KAL,26147,19319,67,19386,73.9
제주-인천,ESR,750,644,3,647,85.9
제주-인천,JJA,945,729,2,731,77.1
제주-인천,JNA,188,172,2,174,91.5
제주-인천,KAL,182,62,0,62,34.1
제주-인천,TWB,246,187,0,187,76
인천-대구,KAL,4515,2480,20,2500,54.9
대구-인천,KAL,4467,2728,19,2747,61.1
김포-김해,ABL,56938,48066,307,48373,84.4
김포-김해,ESR,945,814,4,818,86.1
김포-김해,JJA,11469,9587,34,9621,83.6
김포-김해,JNA,9828,9218,30,9248,93.8
김포-김해,KAL,39123,33668,185,33853,86.1
김포-김해,TWB,13797,12860,56,12916,93.2
김해-김포,ABL,62586,51724,278,52002,82.6
김해-김포,ESR,1890,1644,12,1656,87
김해-김포,JJA,11454,9660,25,9685,84.3
김해-김포,JNA,9828,7363,14,7377,74.9
김해-김포,KAL,39156,33787,163,33950,86.3
김해-김포,TWB,13608,12484,38,12522,91.7
김포-제주,AAR,140222,127264,1377,128641,90.8
김포-제주,ABL,45265,43519,267,43786,96.1
김포-제주,ASV,26840,25058,212,25270,93.4
김포-제주,ESR,79053,75763,509,76272,95.8
김포-제주,JJA,117936,114108,782,114890,96.8
김포-제주,JNA,46220,44527,317,44844,96.3
김포-제주,KAL,154173,135658,1433,137091,88
김포-제주,TWB,82572,78520,597,79117,95.1
제주-김포,AAR,139338,116535,1232,117767,83.6
제주-김포,ABL,39617,36915,239,37154,93.2
제주-김포,ASV,26840,23934,158,24092,89.2
제주-김포,ESR,76605,72582,476,73058,94.7
제주-김포,JJA,116424,107893,740,108633,92.7
제주-김포,JNA,46033,43814,272,44086,95.2
제주-김포,KAL,153034,133120,1341,134461,87
제주-김포,TWB,82326,75521,516,76037,91.7
김포-광주,AAR,10823,5466,58,5524,50.5
광주-김포,AAR,10823,5830,43,5873,53.9
김포-여수,AAR,10788,6599,79,6678,61.2
김포-여수,JNA,5859,3159,32,3191,53.9
여수-김포,AAR,10788,6452,64,6516,59.8
여수-김포,JNA,5859,3535,38,3573,60.3
김포-울산,JNA,5859,4213,82,4295,71.9
김포-울산,KAL,8680,6854,42,6896,79
울산-김포,JNA,5859,4745,60,4805,81
울산-김포,KAL,8680,7113,57,7170,81.9
김포-사천,JNA,11718,7965,90,8055,68
사천-김포,JNA,11718,8083,81,8164,69
김포-포항경주,JNA,4536,1875,41,1916,41.3
포항경주-김포,JNA,5292,1879,26,1905,35.5
제주-김해,ABL,77138,59117,540,59657,76.6
제주-김해,ESR,1890,1428,8,1436,75.6
제주-김해,JJA,36666,30826,261,31087,84.1
제주-김해,JNA,28859,25222,205,25427,87.4
제주-김해,KAL,30969,23725,194,23919,76.6
김해-제주,ABL,71940,63618,597,64215,89
김해-제주,ESR,945,768,5,773,81.3
김해-제주,JJA,36666,32258,272,32530,88
김해-제주,JNA,28860,26703,251,26954,92.5
김해-제주,KAL,31076,26161,228,26389,84.2
제주-대구,AAR,10788,6475,67,6542,60
제주-대구,JJA,14742,11390,115,11505,77.3
제주-대구,JNA,29017,20640,199,20839,71.1
제주-대구,KAL,11656,8125,102,8227,69.7
제주-대구,TWB,40824,32437,230,32667,79.5
대구-제주,AAR,10788,7199,83,7282,66.7
대구-제주,JJA,14742,11286,72,11358,76.6
대구-제주,JNA,29205,22866,231,23097,78.3
대구-제주,KAL,11280,8361,113,8474,74.1
대구-제주,TWB,40824,34741,306,35047,85.1
제주-청주,AAR,16182,14226,213,14439,87.9
제주-청주,EOK,16560,15148,160,15308,91.5
제주-청주,ESR,24372,21169,145,21314,86.9
제주-청주,JJA,25326,21396,168,21564,84.5
제주-청주,JNA,29233,27353,304,27657,93.6
제주-청주,KAL,16705,12082,150,12232,72.3
제주-청주,TWB,19089,15855,205,16060,83.1
청주-제주,AAR,16182,14629,205,14834,90.4
청주-제주,EOK,16560,15433,176,15609,93.2
청주-제주,ESR,24183,22109,173,22282,91.4
청주-제주,JJA,25137,22625,239,22864,90
청주-제주,JNA,29233,27029,289,27318,92.5
청주-제주,KAL,16705,14904,203,15107,89.2
청주-제주,TWB,19089,17167,217,17384,89.9
제주-무안,JJA,3402,1886,16,1902,55.4
제주-무안,JNA,1701,1230,15,1245,72.3
무안-제주,JJA,3213,2262,27,2289,70.4
무안-제주,JNA,1512,938,10,948,62
제주-광주,AAR,21576,13822,122,13944,64.1
제주-광주,JJA,11718,9535,50,9585,81.4
제주-광주,JNA,20192,17324,166,17490,85.8
제주-광주,KAL,17588,10249,108,10357,58.3
제주-광주,TWB,23058,20076,167,20243,87.1
광주-제주,AAR,21576,16283,175,16458,75.5
광주-제주,JJA,11718,10116,67,10183,86.3
광주-제주,JNA,20192,16722,122,16844,82.8
광주-제주,KAL,17588,11896,134,12030,67.6
광주-제주,TWB,23058,20559,195,20754,89.2
제주-여수,AAR,10830,6490,68,6558,59.9
제주-여수,JNA,5859,4732,57,4789,80.8
제주-여수,KAL,4340,2537,25,2562,58.5
여수-제주,AAR,10830,7137,80,7217,65.9
여수-제주,JNA,5859,4860,58,4918,82.9
여수-제주,KAL,4340,2877,44,2921,66.3
제주-울산 ,JNA,5859,3226,43,3269,55.1
제주-울산 ,KAL,4340,3260,70,3330,75.1
울산-제주,JNA,5859,4733,92,4825,80.8
울산-제주,KAL,4340,3052,33,3085,70.3
제주-사천,KAL,2256,1483,15,1498,65.7
사천-제주,KAL,2256,1625,14,1639,72
제주-포항경주,JNA,10395,6390,70,6460,61.5
포항경주-제주,JNA,9639,7153,89,7242,74.2
제주-군산,ESR,11703,8975,88,9063,76.7
제주-군산,JNA,5858,3708,51,3759,63.3
군산-제주,ESR,11514,9178,99,9277,79.7
군산-제주,JNA,5858,4351,64,4415,74.3
제주-원주,JNA,10584,6709,92,6801,63.4
원주-제주,JNA,10584,7702,104,7806,72.8
