항공사,편명,공항,상대공항,출발시간,도착시간,운항요일,시작일자,종료일자,기종,비고
OZ,OZ8001,PUS,CJU,08:55,09:45,일,2016-03-27,2016-10-29,A320,
OZ,OZ8002,CJU,PUS,06:40,07:30,토,2016-03-27,2016-10-29,A320,
OZ,OZ8002,CJU,PUS,21:15,22:05,목,2016-03-27,2016-10-29,A320,
OZ,OZ8002,CJU,PUS,19:40,20:30,월,2016-03-27,2016-10-29,A320,
OZ,OZ8005,PUS,CJU,15:10,16:00,금,2016-03-27,2016-10-29,A320,
OZ,OZ8005,PUS,CJU,15:35,16:25,수,2016-03-27,2016-10-29,A320,
OZ,OZ8007,PUS,CJU,18:30,19:20,토,2016-03-27,2016-10-29,A321,
OZ,OZ8008,CJU,PUS,19:50,20:40,토,2016-03-27,2016-10-29,A321,
OZ,OZ8009,PUS,CJU,16:30,17:20,월금,2016-03-27,2016-10-29,A321,
OZ,OZ8010,CJU,PUS,18:45,19:35,월금,2016-03-27,2016-10-29,A321,
OZ,OZ8120,CJU,TAE,09:35,10:35,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8121,TAE,CJU,11:05,12:05,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8124,CJU,TAE,12:45,13:45,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8125,TAE,CJU,14:15,15:15,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8126,CJU,TAE,15:35,16:35,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8127,TAE,CJU,17:20,18:20,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8128,CJU,TAE,20:00,21:00,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8129,TAE,CJU,08:05,09:05,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8141,KWJ,CJU,08:15,09:05,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8142,CJU,KWJ,09:50,10:35,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8143,KWJ,CJU,11:00,11:50,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8144,CJU,KWJ,14:25,15:10,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8145,KWJ,CJU,15:45,16:35,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8146,CJU,KWJ,15:35,16:20,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8147,KWJ,CJU,19:10,20:00,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8148,CJU,KWJ,20:30,21:15,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8181,HIN,CJU,19:40,20:30,일,2016-03-27,2016-10-29,A320,
OZ,OZ8181,HIN,CJU,21:00,21:50,금,2016-03-27,2016-10-29,A320,
OZ,OZ8182,CJU,HIN,18:20,19:10,일,2016-03-27,2016-10-29,A320,
OZ,OZ8182,CJU,HIN,19:40,20:30,금,2016-03-27,2016-10-29,A320,
OZ,OZ8231,CJJ,CJU,08:15,09:15,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8232,CJU,CJJ,10:00,11:00,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8233,CJJ,CJU,11:35,12:35,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8234,CJU,CJJ,17:15,18:15,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8235,CJJ,CJU,19:05,20:05,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8236,CJU,CJJ,20:45,21:45,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8401,GMP,CJU,13:50,15:05,금,2016-05-20,2016-05-27,A320,
OZ,OZ8401,GMP,CJU,13:50,15:05,월화수,2016-05-02,2016-05-27,A320,
OZ,OZ8402,CJU,GMP,12:20,13:25,금,2016-05-20,2016-05-27,A320,
OZ,OZ8402,CJU,GMP,12:20,13:25,월화수,2016-05-02,2016-05-27,A320,
OZ,OZ8601,GMP,USN,08:50,09:45,월화수목금토,2016-03-27,2016-10-29,A320,
OZ,OZ8602,USN,GMP,10:15,11:10,월화수목금토,2016-03-27,2016-10-29,A320,
OZ,OZ8603,GMP,USN,15:55,16:50,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8604,USN,GMP,17:45,18:40,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8703,GMP,KWJ,09:40,10:30,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8704,KWJ,GMP,11:15,12:05,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8705,GMP,KWJ,13:00,13:50,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8706,KWJ,GMP,14:25,15:15,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8707,GMP,KWJ,17:50,18:40,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8708,KWJ,GMP,16:50,17:40,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8730,RSU,GMP,10:15,11:10,일,2016-03-27,2016-10-29,A320,
OZ,OZ8731,GMP,RSU,06:50,07:45,월화수목금토,2016-03-27,2016-10-29,A320,
OZ,OZ8732,RSU,GMP,08:15,09:10,월화수목금토,2016-03-27,2016-10-29,A320,
OZ,OZ8733,GMP,RSU,09:45,10:40,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8734,RSU,GMP,11:15,12:10,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8735,GMP,RSU,14:55,15:50,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8736,RSU,GMP,16:20,17:15,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8737,GMP,RSU,17:20,18:15,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8738,RSU,GMP,18:50,19:45,월화수목금토일,2016-03-27,2016-10-29,A320,
OZ,OZ8739,GMP,RSU,08:50,09:45,일,2016-03-27,2016-10-29,A320,
OZ,OZ8900,CJU,GMP,06:55,08:00,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8901,GMP,CJU,06:15,07:20,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8902,CJU,GMP,08:05,09:10,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8903,GMP,CJU,06:35,07:40,일,2016-03-27,2016-10-29,A320,
OZ,OZ8904,CJU,GMP,08:10,09:15,일,2016-03-27,2016-10-29,A320,
OZ,OZ8906,CJU,GMP,08:35,09:40,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8907,GMP,CJU,06:45,07:50,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8908,CJU,GMP,07:50,08:55,목,2016-03-27,2016-10-29,A320,
OZ,OZ8908,CJU,GMP,09:35,10:40,월,2016-03-27,2016-10-29,A320,
OZ,OZ8909,GMP,CJU,07:45,08:50,월,2016-03-27,2016-10-29,A320,
OZ,OZ8909,GMP,CJU,06:10,07:15,목,2016-03-27,2016-10-29,A320,
OZ,OZ8910,CJU,GMP,10:20,11:25,월화수목금토일,2016-03-27,2016-10-29,A321,
OZ,OZ8912,CJU,GMP,11:00,12:05,목일,2016-03-27,2016-10-29,A320,
OZ,OZ8913,GMP,CJU,08:35,09:40,월화수목금토일,2016-03-27,2016-10-29,A321,
