공항,상대공항,출도착(A도착D출발),날짜,계획시간,편명
CJJ,CSX,A,2015-02-23,22:40,CZ8567
CJJ,CSX,D,2015-02-23,23:40,CZ8568
CJJ,DLC,A,2015-02-26,17:00,ZE852
CJJ,DLC,A,2015-03-01,17:00,ZE852
CJJ,DLC,A,2015-03-05,17:00,ZE852
CJJ,DLC,A,2015-03-08,17:00,ZE852
CJJ,DLC,A,2015-03-12,17:00,ZE852
CJJ,DLC,A,2015-03-15,17:00,ZE852
CJJ,DLC,A,2015-03-19,17:00,ZE852
CJJ,DLC,A,2015-03-22,17:00,ZE852
CJJ,DLC,D,2015-02-26,13:30,ZE851
CJJ,DLC,D,2015-03-01,13:30,ZE851
CJJ,DLC,D,2015-03-05,13:30,ZE851
CJJ,DLC,D,2015-03-08,13:30,ZE851
CJJ,DLC,D,2015-03-12,13:30,ZE851
CJJ,DLC,D,2015-03-15,13:30,ZE851
CJJ,DLC,D,2015-03-19,13:30,ZE851
CJJ,DLC,D,2015-03-22,13:30,ZE851
CJJ,HGH,A,2015-02-23,17:45,KE812
CJJ,HGH,A,2015-02-27,17:45,KE812
CJJ,HGH,A,2015-03-02,17:45,KE812
CJJ,HGH,A,2015-03-06,17:45,KE812
CJJ,HGH,A,2015-03-09,17:45,KE812
CJJ,HGH,A,2015-03-13,17:45,KE812
CJJ,HGH,A,2015-03-16,17:45,KE812
CJJ,HGH,A,2015-03-20,17:45,KE812
CJJ,HGH,A,2015-03-23,17:45,KE812
CJJ,HGH,D,2015-02-23,12:20,KE811
CJJ,HGH,D,2015-02-27,12:20,KE811
CJJ,HGH,D,2015-03-02,12:20,KE811
CJJ,HGH,D,2015-03-06,12:20,KE811
CJJ,HGH,D,2015-03-09,12:20,KE811
CJJ,HGH,D,2015-03-13,12:20,KE811
CJJ,HGH,D,2015-03-16,12:20,KE811
CJJ,HGH,D,2015-03-20,12:20,KE811
CJJ,HGH,D,2015-03-23,12:20,KE811
CJJ,HKG,A,2015-02-23,07:20,KE9604
CJJ,HRB,A,2015-02-24,19:00,ZE862
CJJ,HRB,A,2015-02-24,20:15,CZ6055
CJJ,HRB,A,2015-02-27,21:25,CZ6055
CJJ,HRB,A,2015-02-28,19:00,ZE862
CJJ,HRB,A,2015-03-03,19:00,ZE862
CJJ,HRB,A,2015-03-03,20:15,CZ6055
CJJ,HRB,A,2015-03-06,21:25,CZ6055
CJJ,HRB,A,2015-03-07,19:00,ZE862
CJJ,HRB,A,2015-03-10,19:00,ZE862
CJJ,HRB,A,2015-03-10,20:15,CZ6055
CJJ,HRB,A,2015-03-13,21:25,CZ6055
CJJ,HRB,A,2015-03-14,19:00,ZE862
CJJ,HRB,A,2015-03-17,19:00,ZE862
CJJ,HRB,A,2015-03-17,20:15,CZ6055
CJJ,HRB,A,2015-03-20,21:25,CZ6055
CJJ,HRB,A,2015-03-21,19:00,ZE862
CJJ,HRB,D,2015-02-24,13:30,ZE861
CJJ,HRB,D,2015-02-24,21:15,CZ6056
CJJ,HRB,D,2015-02-27,22:25,CZ6056
CJJ,HRB,D,2015-02-28,13:30,ZE861
CJJ,HRB,D,2015-03-03,13:30,ZE861
CJJ,HRB,D,2015-03-03,21:15,CZ6056
CJJ,HRB,D,2015-03-06,22:25,CZ6056
CJJ,HRB,D,2015-03-07,13:30,ZE861
CJJ,HRB,D,2015-03-10,13:30,ZE861
CJJ,HRB,D,2015-03-10,21:15,CZ6056
CJJ,HRB,D,2015-03-13,22:25,CZ6056
CJJ,HRB,D,2015-03-14,13:30,ZE861
CJJ,HRB,D,2015-03-17,13:30,ZE861
CJJ,HRB,D,2015-03-17,21:15,CZ6056
CJJ,HRB,D,2015-03-20,22:25,CZ6056
CJJ,HRB,D,2015-03-21,13:30,ZE861
CJJ,PEK,A,2015-02-26,21:35,JD305
CJJ,PEK,A,2015-03-01,21:35,JD305
CJJ,PEK,A,2015-03-05,21:35,JD305
CJJ,PEK,A,2015-03-08,21:35,JD305
CJJ,PEK,A,2015-03-12,21:35,JD305
CJJ,PEK,A,2015-03-15,21:35,JD305
CJJ,PEK,A,2015-03-19,21:35,JD305
CJJ,PEK,A,2015-03-22,21:35,JD305
CJJ,PEK,D,2015-02-26,22:15,JD306
CJJ,PEK,D,2015-03-01,22:15,JD306
CJJ,PEK,D,2015-03-05,22:15,JD306
CJJ,PEK,D,2015-03-08,22:15,JD306
CJJ,PEK,D,2015-03-12,22:15,JD306
CJJ,PEK,D,2015-03-15,22:15,JD306
CJJ,PEK,D,2015-03-19,22:15,JD306
CJJ,PEK,D,2015-03-22,22:15,JD306
CJJ,PVG,A,2015-02-26,02:30,ZE822
CJJ,PVG,A,2015-02-26,10:25,HO1369
CJJ,PVG,A,2015-03-01,02:30,ZE822
CJJ,PVG,A,2015-03-01,10:25,HO1369
CJJ,PVG,A,2015-03-05,02:30,ZE822
CJJ,PVG,A,2015-03-05,10:25,HO1369
CJJ,PVG,A,2015-03-08,02:30,ZE822
CJJ,PVG,A,2015-03-08,10:25,HO1369
CJJ,PVG,A,2015-03-12,02:30,ZE822
CJJ,PVG,A,2015-03-12,10:25,HO1369
CJJ,PVG,A,2015-03-15,02:30,ZE822
CJJ,PVG,A,2015-03-15,10:25,HO1369
CJJ,PVG,A,2015-03-19,02:30,ZE822
CJJ,PVG,A,2015-03-19,10:25,HO1369
CJJ,PVG,A,2015-03-22,02:30,ZE822
CJJ,PVG,A,2015-03-22,10:25,HO1369
CJJ,PVG,D,2015-02-25,21:30,ZE821
CJJ,PVG,D,2015-02-26,11:25,HO1370
CJJ,PVG,D,2015-02-28,21:30,ZE821
CJJ,PVG,D,2015-03-01,11:25,HO1370
CJJ,PVG,D,2015-03-04,21:30,ZE821
CJJ,PVG,D,2015-03-05,11:25,HO1370
CJJ,PVG,D,2015-03-07,21:30,ZE821
CJJ,PVG,D,2015-03-08,11:25,HO1370
CJJ,PVG,D,2015-03-11,21:30,ZE821
CJJ,PVG,D,2015-03-12,11:25,HO1370
CJJ,PVG,D,2015-03-14,21:30,ZE821
CJJ,PVG,D,2015-03-15,11:25,HO1370
CJJ,PVG,D,2015-03-18,21:30,ZE821
CJJ,PVG,D,2015-03-19,11:25,HO1370
CJJ,PVG,D,2015-03-21,21:30,ZE821
CJJ,PVG,D,2015-03-22,11:25,HO1370
CJJ,SHE,A,2015-02-24,10:15,CZ689
CJJ,SHE,A,2015-02-25,15:00,ZE802
CJJ,SHE,A,2015-02-28,10:15,CZ689
CJJ,SHE,A,2015-03-01,15:00,ZE802
CJJ,SHE,A,2015-03-03,10:15,CZ689
CJJ,SHE,A,2015-03-04,15:00,ZE802
CJJ,SHE,A,2015-03-07,10:15,CZ689
CJJ,SHE,A,2015-03-08,15:00,ZE802
CJJ,SHE,A,2015-03-10,10:15,CZ689
CJJ,SHE,A,2015-03-11,15:00,ZE802
CJJ,SHE,A,2015-03-14,10:15,CZ689
CJJ,SHE,A,2015-03-15,15:00,ZE802
CJJ,SHE,A,2015-03-17,10:15,CZ689
CJJ,SHE,A,2015-03-18,15:00,ZE802
CJJ,SHE,A,2015-03-21,10:15,CZ689
CJJ,SHE,A,2015-03-22,15:00,ZE802
CJJ,SHE,D,2015-02-24,11:20,CZ690
CJJ,SHE,D,2015-02-25,10:00,ZE801
CJJ,SHE,D,2015-02-28,11:20,CZ690
CJJ,SHE,D,2015-03-01,10:00,ZE801
CJJ,SHE,D,2015-03-03,11:20,CZ690
CJJ,SHE,D,2015-03-04,10:00,ZE801
CJJ,SHE,D,2015-03-07,11:20,CZ690
CJJ,SHE,D,2015-03-08,10:00,ZE801
CJJ,SHE,D,2015-03-10,11:20,CZ690
CJJ,SHE,D,2015-03-11,10:00,ZE801
CJJ,SHE,D,2015-03-14,11:20,CZ690
CJJ,SHE,D,2015-03-15,10:00,ZE801
CJJ,SHE,D,2015-03-17,11:20,CZ690
CJJ,SHE,D,2015-03-18,10:00,ZE801
CJJ,SHE,D,2015-03-21,11:20,CZ690
CJJ,SHE,D,2015-03-22,10:00,ZE801
CJJ,TPE,A,2015-02-23,20:40,GE7102
CJJ,TPE,A,2015-02-23,22:10,GE7104
CJJ,TPE,D,2015-02-23,21:40,GE7101
CJJ,TPE,D,2015-02-23,23:40,GE7103
CJJ,YNJ,A,2015-02-23,19:30,ZE832
CJJ,YNJ,A,2015-02-25,19:30,ZE832
CJJ,YNJ,A,2015-02-27,19:30,ZE832
CJJ,YNJ,A,2015-03-02,19:30,ZE832
CJJ,YNJ,A,2015-03-04,19:30,ZE832
CJJ,YNJ,A,2015-03-06,19:30,ZE832
CJJ,YNJ,A,2015-03-09,19:30,ZE832
CJJ,YNJ,A,2015-03-11,19:30,ZE832
CJJ,YNJ,A,2015-03-13,19:30,ZE832
CJJ,YNJ,A,2015-03-16,19:30,ZE832
CJJ,YNJ,A,2015-03-18,19:30,ZE832
CJJ,YNJ,A,2015-03-20,19:30,ZE832
CJJ,YNJ,A,2015-03-23,19:30,ZE832
CJJ,YNJ,D,2015-02-23,13:30,ZE831
CJJ,YNJ,D,2015-02-25,13:30,ZE831
CJJ,YNJ,D,2015-02-27,13:30,ZE831
CJJ,YNJ,D,2015-03-02,13:30,ZE831
CJJ,YNJ,D,2015-03-04,13:30,ZE831
